"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"e01749",60354,60131,59155,59035,16500,9376
"e01750",38893,38819,38186,38229,15381,6110
"e01751",31303,31152,30712,30414,7361,7153
"e01752",158048,157903,157078,155448,25767,6499
"e01753",40446,40415,40334,39525,18651,0
"e01754",48747,48716,48658,48662,864,746
"e01755",26513,26481,26313,26258,9436,0
"e01756",29893,29804,29468,29537,11054,3214
"e01757",18723,18616,18188,18120,5641,5084
"e01758",30224,30168,29894,29881,10770,0
"e01759",38118,37946,36421,37377,16558,6281
"e01760",23856,23792,23209,22821,10414,2056
"e01761",28803,28741,28522,27635,8855,0
"e01762",27200,27125,26753,26655,16023,4127
"e01763",10092,10060,9950,10028,2131,1728
"e01764",254,254,249,251,57,38
"e01765",25313,25271,24878,24994,13935,4531
"e01766",35163,35105,34704,34796,18632,4010
"e01767",47311,47249,46979,46554,11948,2926
"e01768",47248,47138,46867,46218,8844,4443
"e01769",24675,24663,24543,23858,12714,4
"e01770",24449,24347,23220,23942,18229,5706
"e01771",37547,37313,35733,36140,16280,5806
"e01772",27909,27829,27432,27763,7594,3654
"e01773",1831,1827,1790,1700,866,283
"e01774",21614,21523,21091,20932,6036,5315
"e01775",28600,28593,28492,28338,20077,20
"e01776",30200,30185,29894,29993,22429,37
"e01777",23195,23190,23126,22745,12574,7
"e01778",23350,23146,22537,22262,8297,7085
"e01779",34516,34424,32719,32829,14456,3886
"e01780",30348,30324,29460,29431,20820,4439
"e01781",40123,40010,38700,39167,14128,4664
"e01782",34352,34284,33895,33915,21822,0
"e01783",30084,29986,29599,29727,4298,3259
"e01784",28819,28736,28368,28663,7885,3051
"e01785",27771,27719,27049,27339,24138,6424
"e01786",28255,28200,28045,24504,6485,0
"e01787",34113,34038,33582,33681,14552,3289
"e01788",18615,18503,18198,18446,2602,2261
"e01789",34932,34741,34408,34672,14926,29
"e01790",28843,28829,28646,28705,23744,0
"e01791",27711,27515,26302,27179,19931,7098
"e01792",28766,28754,28571,28258,13484,38
"e01793",28678,28644,28430,28228,21598,1960
"e01794",23867,23819,23451,23450,15501,3365
"e01795",26479,26389,25876,26170,6089,1438
"e01796",19725,19656,18941,19394,12467,4048
"e01797",46675,46655,46632,46615,4,0
"e01798",41331,41159,40781,40658,11722,9834
"e01799",42805,42641,42099,42546,8298,6927
"e01800",31939,31873,31785,31814,6800,0
"e01801",1785,1777,1699,1705,317,191
"e01802",37472,37414,37256,37346,14104,22
"e01803",38253,37958,37038,37736,7132,5650
"e01804",44499,44323,43767,44213,8664,8027
"e01805",28564,28446,28015,27972,14609,707
"e01806",25408,25306,24863,25259,4855,2659
"e01807",22283,22272,22247,22234,2824,0
"e01808",32823,32716,32076,32217,14003,1966
"e01809",22389,22273,19489,21776,13425,4604
"e01810",27407,27293,27048,26558,6325,0
"e01811",27779,27579,26564,27243,15681,4935
"e01812",30208,30046,29541,29970,80,57
"e01813",14057,13963,13710,13633,7696,1188
"e01814",12903,12853,12148,12758,8316,2468
"e01815",22385,22354,22246,22174,8296,0
"e01816",22891,22824,22295,22511,12412,2559
"e01817",16782,16752,16600,14209,6349,1154
"e01818",16671,16517,16168,16198,6299,4301
"e01819",21438,21313,20574,20591,10624,1383
"e01820",21543,21487,21063,21297,9833,2342
